month,supplier,spend_share,po_compliance,on_time_delivery,exception_rate,processing_hours,quality_score,price_stability,performance_score
2025-09,Proveedor A,0.25,89.44002384063926,97.35081215245162,3.129197650736925,1.612241202836541,93.04673073970652,94.19176060475093,92.15566049570532
2025-10,Proveedor A,0.25,90.97479826374357,94.46452093036756,3.10778929120199,2.2944479838572374,95.09904604634183,95.69086181045205,92.12964719709402
2025-11,Proveedor A,0.25,89.71106130567514,96.6637514113485,2.46439108970985,2.3196125753268184,94.92511113352062,93.72270645468211,93.61321768791431
2025-12,Proveedor A,0.25,92.83381200801105,95.72184693227615,2.6500852622429125,2.0119666123779427,95.79846377833002,94.54816609654611,92.46912702662136
2026-01,Proveedor A,0.25,91.64623150451182,99.85496568156682,2.657754744265384,1.9719393177321158,93.77934090762818,94.92396913386324,93.64922527415372
2026-02,Proveedor A,0.25,90.82907881351768,94.48771834146746,2.511431574508066,2.2626481969561754,96.11488125680516,94.8147314024578,94.04247496742101
2026-03,Proveedor A,0.25,91.34824198460008,96.21003445645331,2.8765410088551544,2.3178571944870474,95.33539332316202,95.01837034460785,91.20306836334338
2026-04,Proveedor A,0.25,91.43367909803497,97.13631880650938,2.2899954630505164,2.0200821959106747,94.2944410185608,93.04168322763499,91.34492004185225
2026-05,Proveedor A,0.25,93.24241196685159,94.44150399175216,3.138897424107018,1.679282557096049,94.49767245502134,94.2441295976575,90.3246255555661
2026-06,Proveedor A,0.25,92.06683986968929,97.42802502335987,2.6779462247130468,1.9844120518338584,96.28696382188573,93.71304351267757,91.0271716211335
2026-07,Proveedor A,0.25,89.30006917899478,94.3449858851971,2.9740062604188173,2.1356064340176415,96.03572803110166,93.3591210304952,88.82078999999979
2026-08,Proveedor A,0.25,91.938385590951,95.44317622850357,2.959871333145094,1.9345185147333372,94.45541923015239,93.4273931590025,90.92193714093648
2025-09,Proveedor B,0.2,87.73045872117838,92.1550757876351,4.20437294155469,2.920186664726477,91.66979676404492,90.99807766345918,86.13499242529315
2025-10,Proveedor B,0.2,86.36505253193377,92.85650722036848,3.60943294811469,2.438221881894228,89.0159505814684,88.50412975859777,88.170955726495
2025-11,Proveedor B,0.2,85.64178141695992,92.3193074027291,4.654729904225123,2.7109340072346435,92.10627335270063,88.59957347998518,89.31193554927997
2025-12,Proveedor B,0.2,85.57496691763413,92.38974046337898,4.4941078481100885,2.3681698942019125,91.65163546531879,90.35660340349841,88.81971741046492
2026-01,Proveedor B,0.2,84.83091321841732,93.12983311388497,4.01467755182767,2.858169052838676,91.03277821828516,92.40266833698138,88.22096619340236
